product_id,product_name,brands,energy,saturated_fats,sugars,eco_score_num,nutri_score_num,nova_score_num,product_additive_count
9900,Isostar High Energy Tablets Lemon,Isostar,368.00,1.00,86.00,,4.00,4.00,6.00
9901,Sacs 250g violette - les Anis de Flavigny,les Anis de Flavigny,398.00,0.00,97.00,3.00,4.00,4.00,
9902,Boite ovale café - Les Anis De Flavigny,Les Anis De Flavigny,398.00,0.00,97.00,2.00,4.00,4.00,
9903,Fabrique croustipate,Croustipate,382.00,8.70,19.00,4.00,4.00,4.00,1.00
9904,Feuilles de Filo Pastry - JR,JR,190.00,0.20,4.00,2.00,2.00,3.00,2.00
9905,Polos gigantes CHOCOLATE BLANCO - Simpl,"Simpl, Carrefour",285.00,11.00,30.00,2.00,5.00,4.00,3.00
9906,Guisantes Finos - Carrefour,Carrefour,92.00,0.40,3.00,2.00,1.00,1.00,
9907,Crackers Party - Triangolo - Cosmini - Mini pizza - Crakini - Carrefour,Carrefour,509.00,3.60,6.10,2.00,4.00,4.00,3.00
9908,Guisantes Muy finos - Carrefour,Carrefour,80.00,0.10,1.70,2.00,1.00,3.00,
9909,Arroz redondo - Carrefour,Carrefour,350.00,0.10,0.00,5.00,2.00,1.00,
9910,Yemas de espárragos Blancos - Carrefour,Carrefour,0.00,,1.50,2.00,,3.00,1.00
9911,Mini Pizzas 3 fromages - Auchan,Auchan,284.00,6.50,1.30,3.00,4.00,4.00,6.00
9912,Jambon Serrano - Fraisdevant,Fraisdevant,222.00,4.00,0.80,5.00,4.00,3.00,
9913,Hahne Choco Linis 375GR,Hahne,376.00,1.50,25.00,4.00,3.00,4.00,
9914,Multisabor stick,Sugus,406.00,4.10,83.50,3.00,5.00,4.00,4.00
9915,Пармак суджук Destan,Destan,369.00,12.80,0.30,5.00,5.00,4.00,2.00
9916,Mango Pickle Mittelscharf Patak´s 283G,Patak's,144.00,0.00,1.70,,3.00,3.00,1.00
9917,Bcaa 4:1:1 Tablet - Unflavoured - 120 Tablets,Myprotein,400.00,0.00,0.00,,,4.00,1.00
9918,Protein porridge pot - Bulk Powders,Bulk Powders,371.00,1.30,6.50,2.00,1.00,4.00,3.00
9919,Bloc saveur Fumé - Violife,Violife,270.00,19.00,0.00,,5.00,4.00,2.00
9920,"Oxfam Fondant Dark, Dunkele Schokolade - Intermón Oxfam",Intermón Oxfam,507.00,18.40,50.70,5.00,5.00,4.00,2.00
9921,H20 Infusion - Tangy Pineaple Flavor - Prozis,Prozis,245.00,0.00,3.80,,,4.00,7.00
9922,Piripiri extra forte - Quinta d'Avo,Quinta d'Avo,20.00,0.20,0.40,,3.00,3.00,1.00
9923,旺仔牛奶 - 旺旺,旺旺,190.00,0.00,13.00,,5.00,4.00,2.00
9924,Möller's Tran - Peter Möller,Peter Möller,0.00,0.00,0.00,1.00,2.00,2.00,
9925,Antioxidant agua vitaminada - Vitamin well,Vitamin well,17.00,0.00,4.20,,4.00,4.00,1.00
9926,Dairy Milk,Cadbury,534.00,18.00,56.00,5.00,5.00,4.00,2.00
9927,Mmmax bubbly caramel,Milka,512.00,16.00,55.00,5.00,5.00,4.00,3.00
9928,Natillas de vainilla - Pascual,Pascual,102.00,1.60,16.60,,3.00,4.00,3.00
9929,Crema de espárragos deshidratada - Gallina Blanca,Gallina Blanca,26.00,0.00,0.80,2.00,3.00,4.00,
9930,Turrón de chocolate negro con almendra - 1880,1880,170.00,6.00,7.00,4.00,3.00,4.00,2.00
9931,Longaniza del pirineo - Navidul,Navidul,437.00,12.00,2.80,,5.00,4.00,8.00
9932,dark & mango - Torras,Torras,453.00,19.00,2.00,5.00,3.00,4.00,1.00
9933,El Serpis Anchoa Olives 125 Gram,Serpis,141.00,2.50,0.00,2.00,4.00,4.00,4.00
9934,Aceitunas rellenas al limón - El Torreón,El Torreón,142.00,2.50,0.00,1.00,4.00,4.00,4.00
