product_id,additive_id
283,E322
283,E322i
284,E140
284,E330
285,E160b
285,E270
285,E296
285,E330
285,E471
285,E621
285,E627
285,E631
286,E500
286,E500ii
286,E503
286,E503ii
286,E953
286,E965
287,E330
287,E422
287,E440
287,E500
287,E500ii
287,E503
287,E503ii
289,E322
289,E322i
289,E500
289,E500ii
291,E500
291,E500ii
291,E503
291,E503ii
291,E965
292,E140
292,E160
292,E440
294,E322
294,E322i
296,E322
297,E322
297,E330
297,E440
298,E322
300,E223
300,E322
300,E322i
300,E500
300,E500ii
300,E503
300,E503ii
301,E160c
301,E262
301,E262i
301,E330
303,E331
305,E950
305,E955
305,E968
306,E200
306,E210
306,E330
306,E331
306,E950
306,E955
307,E150d
307,E331
307,E338
307,E950
307,E951
312,E223
312,E306
312,E322
312,E322i
312,E503
312,E503ii
313,E575
318,E211
318,E330
319,E150d
319,E223
319,E322
319,E322i
319,E500
319,E500i
322,E322
322,E322i
323,E322
323,E500
323,E500ii
323,E502
324,E200
324,E202
324,E282
324,E300
324,E341
324,E472e
324,E481
325,E306
325,E322
325,E322i
326,E160a
326,E955
327,E282
327,E296
327,E422
327,E450
327,E466
327,E471
327,E500
327,E920
331,E322
331,E322i
331,E500
331,E500ii
331,E503
331,E503ii
332,E250
332,E252
332,E301
332,E331
333,E250
333,E301
334,E331
334,E500
334,E954
335,E300
336,E140
336,E407
336,E950
336,E955
337,E407
337,E955
338,E322
338,E322i
338,E330
338,E450
338,E471
338,E500
338,E503
339,E300
340,E1103
340,E322
340,E322i
342,E322
342,E500
343,E501
343,E501i
344,E202
344,E401
344,E407
344,E410
345,E200
345,E481
346,E322
346,E322i
348,E392
352,E296
352,E300
352,E330
352,E414
352,E445
352,E950
352,E955
353,E322
353,E322i
353,E330
354,E100
354,E140
354,E150
354,E160c
354,E330
354,E500
354,E500i
354,E501
354,E501i
354,E621
354,E635
355,E200
355,E202
355,E282
355,E300
355,E341
355,E472e
355,E481
356,E304
356,E304i
356,E306
356,E310
356,E471
357,E306
357,E322
357,E322i
358,E304
358,E304i
358,E306
358,E310
358,E322
358,E322i
358,E330
358,E420
358,E440
358,E500
358,E500ii
358,E503
358,E503ii
358,E950
358,E965
358,E965ii
359,E322
359,E322i
361,E300
362,E418
363,E306
363,E322
363,E322i
363,E420
363,E422
363,E476
364,E422
365,E1400
365,E322
365,E322i
366,E250
366,E407
366,E451
366,E451i
370,E322
370,E322i
370,E500
370,E501
370,E503
370,E524
371,E960
371,E968
372,E200
372,E282
372,E300
372,E471
372,E472e
375,E336
375,E392
375,E500
375,E503
377,E200
377,E282
377,E300
377,E341
377,E471
377,E472e
377,E481
378,E202
378,E282
378,E296
378,E415
378,E422
378,E471
378,E500
378,E500ii
378,E920
379,E211
379,E260
379,E330
379,E621
383,E461
384,E322
384,E322i
385,E330
386,E341
386,E341i
386,E500
386,E500ii
386,E502
387,E304
387,E304i
387,E306
387,E310
387,E322
387,E322i
387,E420
387,E422
390,E250
390,E301
390,E407
390,E451
390,E451i
391,E220
391,E330
392,E330
392,E551
393,E140
393,E471
394,E322
394,E322i
394,E341
394,E341iii
394,E951
395,E955
395,E968
396,E304
396,E306
396,E330
396,E331
396,E440
397,E330
401,E140
401,E160a
401,E160ai
401,E202
401,E428
401,E471
403,E322
403,E322i
404,E322
404,E322i
405,E120
405,E163
405,E330
405,E331
405,E428
405,E950
405,E955
407,E202
407,E330
407,E471
407,E570
408,E200
408,E282
408,E412
408,E471
408,E481
409,E322
409,E407
409,E412
410,E330
410,E334
410,E464
412,E220
412,E330
414,E1105
416,E296
416,E300
416,E330
416,E331
416,E331i
416,E340
416,E414
416,E445
416,E955
417,E150d
417,E338
419,E322
419,E322i
419,E450
419,E450i
419,E500
419,E500ii
419,E502
420,E200
420,E282
420,E300
420,E341
420,E471
420,E472e
421,E223
421,E322
421,E322i
422,E223
422,E385
424,E330
426,E322
426,E322i
426,E502
427,E140
427,E385
428,E322
428,E322i
430,E322
430,E322i
432,E322
432,E322i
432,E330
432,E500
432,E500ii
433,E322
433,E322i
433,E951
434,E322
434,E322i
434,E960
434,E965
436,E200
436,E202
436,E282
436,E471
436,E472e
437,E325
438,E262
438,E322
438,E322i
438,E330
438,E415
438,E422
438,E450
438,E471
438,E481
438,E500
440,E322
440,E322i
440,E500
440,E500ii
441,E322
441,E322i
442,E418
443,E296
443,E330
443,E331
443,E341
443,E341iii
443,E440
445,E221
445,E471
446,E418
448,E322
448,E322i
449,E461
450,E1200
450,E422
450,E960
450,E967
451,E339
451,E407
451,E460
451,E466
453,E140
454,E322
454,E322i
454,E503
456,E322
456,E450
456,E502
458,E330
460,E202
460,E282
460,E300
460,E471
460,E481
463,E140
463,E202
463,E211
465,E306
465,E322
465,E420
466,E410
468,E322
468,E450
468,E500
469,E150d
469,E331
469,E338
469,E950
469,E951
469,E952
470,E223
470,E327
470,E330
470,E500
470,E500ii
470,E503
470,E503ii
470,E621
470,E627
470,E631
471,E202
471,E461
472,E500
472,E500ii
473,E160a
473,E160ai
473,E330
473,E440
474,E160c
474,E385
477,E322
477,E322i
478,E140
478,E331
478,E407
478,E950
478,E955
481,E140
482,E322
482,E322i
482,E476
482,E500
482,E503
484,E464
486,E322
486,E322i
488,E330
488,E440
490,E296
490,E300
490,E330
490,E331
490,E331i
490,E340
490,E414
490,E445
490,E950
490,E955
491,E450
491,E500
491,E500i
491,E502
492,E621
493,E339
493,E339i
493,E407
493,E460
493,E466
497,E322
498,E330
498,E331
498,E452
502,E322
502,E322i
503,E304
503,E304i
503,E306
503,E322
503,E322i
503,E420
503,E422
504,E322
504,E322i
505,E250
505,E301
505,E407
505,E451
505,E451i
507,E322
507,E322i
508,E140
508,E160c
508,E202
508,E385
509,E300
510,E440
511,E330
511,E500
511,E503
512,E300
512,E331
512,E392
513,E300
513,E330
513,E331
513,E960
515,E500
515,E500ii
517,E412
519,E503
520,E202
520,E407
520,E410
521,E140
521,E322
521,E330
521,E471
522,E262
525,E140
525,E407
526,E250
526,E252
526,E301
526,E331
527,E306
530,E501
530,E501i
531,E160b
533,E322
533,E322i
534,E202
534,E407
534,E410
535,E200
535,E270
535,E471
536,E322
536,E451
536,E451i
538,E322
538,E422
538,E955
538,E965
539,E414
539,E500
539,E503
542,E322
542,E322i
543,E322
543,E322i
543,E502
544,E250
544,E316
544,E331
544,E407
544,E450
545,E200
545,E282
545,E300
545,E412
546,E331
546,E407
546,E418
546,E955
549,E322
549,E322i
549,E440
550,E471
553,E224
553,E322
553,E322i
553,E501
553,E501ii
553,E503
553,E503ii
553,E965
556,E250
556,E301
556,E407
556,E451
556,E451i
558,E270
558,E322
558,E322i
558,E500
558,E500ii
558,E503
558,E503ii
558,E965
559,E509
560,E575
561,E170
561,E170i
561,E307
561,E322
561,E501
561,E524
562,E223
562,E330
563,E300
564,E322
564,E322i
564,E415
565,E296
565,E500
565,E500i
565,E503
565,E503ii
566,E322
566,E322i
567,E322
567,E322i
567,E500
567,E500ii
568,E500
568,E500ii
568,E503
568,E503ii
568,E965
569,E202
571,E250
571,E301
571,E407
571,E451
571,E451i
572,E140
572,E202
572,E211
572,E955
573,E200
573,E202
573,E282
573,E300
574,E322
574,E450
574,E500
575,E150d
575,E331
575,E338
575,E950
575,E951
576,E322
576,E322i
576,E500
576,E500ii
576,E503
576,E503ii
577,E202
578,E306
578,E322
578,E322i
579,E330
582,E322
582,E322i
582,E331
582,E331iii
582,E340
582,E340ii
583,E322
583,E322i
583,E502
584,E200
584,E202
584,E282
584,E300
584,E322
584,E322i
584,E330
584,E471
584,E481
587,E322
587,E450
587,E500
588,E322
588,E322i
588,E500
588,E504
589,E322
589,E322i
