,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
635,Yogur natural - Hacendado - 6 x 125 g,Hacendado,Nivel de procesamiento de alimentos desconocido,B,"Portugal, España","u, n, k, n, o, w, n",Eco-Score B,258 kj(62 kcal),"2,2 g","4,1 g"
636,loncheado kebab de pollo asado - Hacendado - 300 g,Hacendado,Alimentos ultraprocesados,D,España,E262 - Acetatos de sodio,El Eco-Score no pudo ser calculado,798 kj(191 kcal),"3,4 g","1,1 g"
637,Soya Sauce - Vitasia - 150ml,"Vitasia, Lidl, Kania",Alimentos procesados,C,"República Checa, Francia, Alemania, Italia, España","u, n, k, n, o, w, n",Eco-Score B,267 kj(63 kcal),"0,1 g","1,7 g"
638,Mantequilla grano de sal de mar - Président - 250 g,Président,Ingredientes culinarios procesados,E,"Bélgica, China, Dinamarca, Francia, Alemania, España","u, n, k, n, o, w, n",Eco-Score C,2989 kj(727 kcal),55 g,1 g
639,Corn flakes - Grillon d'Or - 500 g,Grillon d'Or,Alimentos no procesados o mínimamente procesados,A,"Francia, España","u, n, k, n, o, w, n",Eco-Score B,1643 kj(376 kcal),"0,2 g","0,6 g"
640,Postre vegetal de soja sabor chocolate negro - Alpro - 350g,"Alpro, KaMa",Alimentos ultraprocesados,B,"Bélgica, Alemania, España, Suiza","E14XX - Almidón modificado, E407 - Carragenatos",Eco-Score B,401 kj(95 kcal),"0,8 g","11,8 g"
641,Jamón serrano - Incarlopsa - 240 g,Incarlopsa,Alimentos procesados,D,"España, en:France Germany Spain","E250 - Nitrito sódico, E252 - Nitrato potásico, E301 - Ascorbato sódico, E331 - Citratos de sodio",Eco-Score E,"1037,9 kj(247 kcal)","4,6 g","0,5 g"
642,Quaker - 450 g,"Quaker, PepsiCo",Alimentos ultraprocesados,A,"Bélgica, Francia, Países Bajos, España",E306 - Extracto rico en tocoferoles,Eco-Score B,1800 kj(429 kcal),"1,56 g","11,6 g"
643,Tahini - Hacendado - 200g,Hacendado,Alimentos no procesados o mínimamente procesados,D,España,"u, n, k, n, o, w, n",Eco-Score D,2932 kj(710 kcal),"10,1 g","1,4 g"
644,AllBran Pre-Biotic - Kellogg's - 380 g,Kellogg's,Nivel de procesamiento de alimentos desconocido,A,"Francia, Italia, España, fr:Francia","u, n, k, n, o, w, n",Eco-Score D,1730 kj(413 kcal),"1,78 g","4,67 g"
