,Product Name,Brands,NOVA 4,Nutri-Score,Countries,Additives,Eco-Score,Energía,Grasas saturadas,Azúcares
0,Nutella - Ferrero - 400 g,Ferrero,Alimentos ultraprocesados,E,"Bélgica, Francia, Alemania, Italia, Luxemburgo, Marruecos, Países Bajos, Filipinas, Polonia, Rumania, España, Suiza, Reino Unido, Estados Unidos","E322 - Lecitinas, E322i - Lecitina",Eco-Score D,2252 kj(539 kcal),"10,6 g","56,3 g"
1,Prince chocolate - Lu - 300 g,"Lu, Mondelez",Alimentos ultraprocesados,D,"Argelia, Bélgica, Francia, Polinesia Francesa, Alemania, Guadalupe, Hungría, Luxemburgo, Martinica, Marruecos, Nueva Caledonia, Reunión, España, Suiza, Estados Unidos","E322 - Lecitinas, E322i - Lecitina, E500 - Carbonatos de sodio, E500ii - Bicarbonato de sodio, E503 - Carbonatos de amonio, E503i - Carbonato de amonio",Eco-Score C,1962 kj(467 kcal),"5,6 g",32 g
2,Coca-Cola - 330 mL,Coca cola,Alimentos ultraprocesados,E,"Bélgica, Francia, Alemania, Hungría, Italia, Serbia, España, Suiza","E150d - Caramelo de sulfito amónico, E338 - Ácido fosfórico",Eco-Score aún no aplicable,180 kj(42 kcal),0 g,"10,6 g"
3,Nutella - Ferrero - 1 kg,Ferrero,Alimentos ultraprocesados,E,"Argelia, Bélgica, Francia, Alemania, Guadalupe, Italia, Luxemburgo, Martinica, Marruecos, Reunión, España, Suiza, Túnez, Reino Unido, Estados Unidos","E322 - Lecitinas, E322i - Lecitina",Eco-Score D,2252 kj(539 kcal),"10,6 g","56,3 g"
4,Coca-Cola zero - 330 ml,Coca-Cola,Alimentos ultraprocesados,B,"Bélgica, Francia, Alemania, Hungría, Italia, España, Suiza, Estados Unidos","E150d - Caramelo de sulfito amónico, E331 - Citratos de sodio, E338 - Ácido fosfórico, E950 - Acesulfamo K, E951 - Aspartamo",Eco-Score aún no aplicable,1 kj(0 kcal),0 g,0 g
5,"Ferrero- Nutella Biscuits Resealable Bag, 304g (10.7oz) - 304 g","Nutella, Ferrero",Nivel de procesamiento de alimentos desconocido,E,"Francia, Alemania, Italia, Marruecos, Rumania, España, Suiza","u, n, k, n, o, w, n",Eco-Score C,2158 kj(515 kcal),"11,5 g","35,8 g"
6,"Cruesli, pepitas con mezcla de frutos secos - Quaker - 450 g",Quaker,Alimentos ultraprocesados,A,"Bélgica, Francia, Polinesia Francesa, Alemania, Guadalupe, Italia, Martinica, Reunión, Eslovenia, España, Suiza, Reino Unido",E306 - Extracto rico en tocoferoles,Eco-Score B,1913 kj(462 kcal),2 g,12 g
7,Mantequilla de cacahuete pura - Jardin Bio - 350 g,Jardin Bio,Alimentos no procesados o mínimamente procesados,B,"Bélgica, Francia, Marruecos, Reunión, España, Suiza","u, n, k, n, o, w, n",Eco-Score B,2591 kj(625 kcal),"9,7 g","5,1 g"
8,Copos de avena - Bjorg - 500 g,Bjorg,Alimentos no procesados o mínimamente procesados,A,"Bélgica, Francia, Alemania, Marruecos, Nueva Caledonia, España, Suiza","u, n, k, n, o, w, n",Eco-Score B,1524 kj(362 kcal),"1,3 g","1,7 g"
9,Coca-Cola - Coca-Cola HBC Polska Sp. z o.o. - 330ml,Coca-Cola HBC Polska Sp. z o.o.,Alimentos ultraprocesados,E,"Argelia, Austria, Bélgica, Bulgaria, Francia, Alemania, Italia, Marruecos, Polonia, Portugal, Rumania, Rusia, España, Suiza, Reino Unido","E150d - Caramelo de sulfito amónico, E290 - Dióxido de carbono, E338 - Ácido fosfórico",Eco-Score aún no aplicable,180 kj(42 kcal),0 g,"10,6 g"
10,Coca-Cola zero azúcar - 330 ml,Coca-Cola,Alimentos ultraprocesados,B,"Austria, Bélgica, Francia, Alemania, Irlanda, Italia, Marruecos, Países Bajos, Polonia, Portugal, Rumania, España, Suiza, Reino Unido, Estados Unidos","E150d - Caramelo de sulfito amónico, E338 - Ácido fosfórico, E950 - Acesulfamo K, E951 - Aspartamo",Eco-Score aún no aplicable,"1,52 kj(0 kcal)",0 g,0 g
11,Nutella - Ferrero - 200 g,Ferrero,Alimentos ultraprocesados,E,"Austria, Bélgica, Bulgaria, Francia, Alemania, Hungría, Italia, Marruecos, Portugal, Rumania, España, Suiza, Reino Unido","E322 - Lecitinas, E322i - Lecitina",Eco-Score D,2252 kj(539 kcal),"10,6 g","56,3 g"
12,TUC Original - LU - 100 g,"LU, Mondelēz",Alimentos ultraprocesados,D,"Austria, Bélgica, Dinamarca, Estonia, Finlandia, Francia, Alemania, Italia, Luxemburgo, Malta, Marruecos, Países Bajos, Portugal, España, Suecia, Suiza","E223 - Metabisulfito sódico, E500 - Carbonatos de sodio, E503 - Carbonatos de amonio",Eco-Score B,2010 kj(479 kcal),"1,9 g","7,1 g"
13,"Muesli de uva, higo y albaricoque - Bjorg - 375 g",Bjorg,Alimentos procesados,A,"Bélgica, Costa de Marfil, Francia, Polinesia Francesa, Guadalupe, Italia, Martinica, Marruecos, Nueva Caledonia, Reunión, España, Suiza, Estados Unidos","u, n, k, n, o, w, n",Eco-Score B,1440 kj(341 kcal),1 g,14 g
14,Nutella - Ferrero - 825 g,"Ferrero, Nutella",Alimentos ultraprocesados,E,"Argentina, Australia, Bélgica, Canadá, Colombia, Francia, Alemania, Irlanda, Italia, Japón, Luxemburgo, Países Bajos, Reunión, Rusia, Arabia Saudita, Sudáfrica, España, Suecia, Suiza, Reino Unido, Estados Unidos","E322 - Lecitinas, E322i - Lecitina",Eco-Score D,2252 kj(539 kcal),"10,6 g","56,3 g"
15,Muesli especial 30% frutas y frutos secos - Jordans - 750 g,Jordans,Alimentos no procesados o mínimamente procesados,A,"Bélgica, Francia, Polinesia Francesa, Alemania, Italia, Martinica, Reunión, España, Suiza","u, n, k, n, o, w, n",Eco-Score B,1523 kj(362 kcal),2 g,"17,2 g"
16,Nutella - Ferrero - 350 g,Ferrero,Nivel de procesamiento de alimentos desconocido,E,"Argelia, Colombia, Costa de Marfil, Dinamarca, Francia, Alemania, Guadalupe, Irán, Irak, Israel, Italia, Martinica, Mauricio, Mongolia, Marruecos, Nigeria, Noruega, Polonia, Portugal, Reunión, Rusia, Ruanda, Senegal, Eslovaquia, España, Suecia, Reino Unido","u, n, k, n, o, w, n",Eco-Score C,2252 kj(539 kcal),"10,6 g","56,3 g"
17,Yogur natural - Danone - 500 g (4 × 125 g),Danone,Alimentos procesados,A,"Bélgica, Francia, Marruecos, España","u, n, k, n, o, w, n",Eco-Score A,188 kj(45 kcal),"0,6 g","5,1 g"
18,Coca-Cola - 1 l,"Coca-Cola, The Coca-Cola Company",Alimentos ultraprocesados,E,"Argelia, Austria, Bélgica, Bulgaria, Camerún, Croacia, Francia, Alemania, Hungría, Italia, Kazajistán, Marruecos, Polonia, Portugal, Reunión, Rusia, Senegal, Serbia, España, Suecia, Suiza, Túnez, Turquía, Ucrania, Reino Unido","E150d - Caramelo de sulfito amónico, E290 - Dióxido de carbono, E338 - Ácido fosfórico",Eco-Score aún no aplicable,190 kj(45 kcal),0 g,"11,2 g"
19,Pringles Original - 175 g,Pringles,Alimentos ultraprocesados,D,"Francia, Alemania, Italia, Martinica, Portugal, España, Reino Unido","E160b - Annato, E471 - Mono- y diglicéridos de ácidos grasos",Eco-Score B,2227 kj(534 kcal),"6,6 g","1,4 g"
